ROI_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score,PD_Contrib_Mean,HC_Contrib_Mean,Prodromal_Contrib_Mean,Contrastive_Delta_C
right_inf_lat_vent_Surface_Area,5.39810835686425e-07,1.4578382055578607e-05,0.0004802306340428152,0.03035641097849894,1e-06,-2.1e-05,7.1e-05,2.1e-05
cc_mid_posterior_Surface_Area,4.861614973273295e-07,2.2691425356208625e-07,5.095991602379364e-06,0.044440780798845315,0.0,0.0,0.0,-0.0
rh_insula_Thickness,4.861316561930218e-07,1.3324583500781977e-07,3.1403828565890548e-06,0.042295124457376626,0.0,0.0,0.0,0.0
lh_inferiorparietal_Thickness,4.631752428108842e-07,-5.180149078404021e-06,0.000783372270329244,-0.006612543166475904,-9e-06,0.0,4e-06,-9e-06
lh_isthmuscingulate_Thickness,4.5694295693649333e-07,2.144448971899038e-05,0.0006226956983001699,0.03443759994091663,7e-06,0.0,7.4e-05,7e-06
rh_medialorbitofrontal_Thickness,4.443662679947787e-07,1.4012249854606078e-05,0.0003968121790397039,0.035311155965413135,7e-06,1.3e-05,3.6e-05,-6e-06
lh_medialorbitofrontal_Thickness,4.356775953260439e-07,1.4387085967983227e-05,0.00038356515113502983,0.03750786755974853,3e-06,0.0,5.4e-05,3e-06
cc_posterior_Thickness,4.307917591309949e-07,1.1931891267079762e-05,0.0004502524104924973,0.026499860945595373,5e-06,0.0,3.7e-05,5e-06
lh_precentral_Surface_Area,4.277518834559681e-07,-1.2110704787194115e-06,0.00034876958721296783,-0.0034723089398575424,5e-06,-6.4e-05,0.0,6.9e-05
lh_postcentral_Surface_Area,4.2691626186523595e-07,-4.9949919805802715e-06,0.00039868762134686117,-0.012528271334317043,4e-06,-9.7e-05,0.0,0.000101
